id,display_name,fx_stablecoin,max_slippage_percentage,status
ADA-GBP,ADA-GBP,False,0.03000000,online
CBETH-ETH,cbETH-ETH,True,0.01000000,online
FIL-EUR,FIL-EUR,False,0.03000000,online
SNT-USD,SNT-USD,False,0.03000000,delisted
LINK-USDT,LINK-USDT,False,0.03000000,online
IDEX-USDT,IDEX-USDT,False,0.03000000,delisted
RLY-USD,RLY-USD,False,0.05000000,delisted
DEXT-USD,DEXT-USD,False,0.05000000,online
DIA-USDT,DIA-USDT,False,0.03000000,delisted
NU-EUR,NU-EUR,False,0.03000000,delisted
GYEN-USD,GYEN-USD,True,0.01000000,online
OMNI-USD,OMNI/USD,False,0.03000000,online
MEDIA-USDT,MEDIA-USDT,False,0.03000000,delisted
ENS-USD,ENS-USD,False,0.03000000,online
VOXEL-USD,VOXEL-USD,False,0.03000000,online
MKR-BTC,MKR-BTC,False,0.03000000,online
DIA-USD,DIA-USD,False,0.03000000,online
ETH-USDC,ETH-USDC,False,0.03000000,delisted
SNX-BTC,SNX-BTC,False,0.03000000,online
FLOW-USD,FLOW-USD,False,0.03000000,online
ANKR-USD,ANKR-USD,False,0.03000000,online
FORT-USD,FORT-USD,False,0.03000000,online
JASMY-USD,JASMY-USD,False,0.03000000,online
AXS-BTC,AXS-BTC,False,0.03000000,online
ETC-USD,ETC-USD,False,0.03000000,online
NEAR-USD,NEAR-USD,False,0.03000000,online
CRV-GBP,CRV-GBP,False,0.03000000,online
UNI-BTC,UNI-BTC,False,0.03000000,online
WCFG-USDT,WCFG-USDT,False,0.03000000,delisted
PYUSD-USD,PYUSD-USD,True,0.01000000,online
BLZ-USD,BLZ-USD,False,0.03000000,online
DIMO-USD,DIMO-USD,False,0.03000000,online
TRU-BTC,TRU-BTC,False,0.03000000,delisted
ALCX-USD,ALCX-USD,False,0.03000000,online
PLU-USD,PLU-USD,False,0.03000000,online
HBAR-USDT,HBAR-USDT,False,0.03000000,online
SHIB-GBP,SHIB-GBP,False,0.03000000,online
BICO-USDT,BICO-USDT,False,0.03000000,online
DESO-EUR,DESO-EUR,False,0.03000000,delisted
COMP-USD,COMP-USD,False,0.03000000,online
ALGO-GBP,ALGO-GBP,False,0.03000000,online
GUSD-USD,GUSD-USD,True,0.01000000,online
AIOZ-USDT,AIOZ-USDT,False,0.03000000,delisted
USDT-EUR,USDT-EUR,True,0.01000000,online
AXS-EUR,AXS-EUR,False,0.03000000,online
HONEY-USD,HONEY-USD,False,0.03000000,online
BICO-USD,BICO-USD,False,0.03000000,online
SOL-USDT,SOL-USDT,False,0.03000000,online
GALA-USD,GALA-USD,False,0.03000000,delisted
XRP-USDT,XRP-USDT,False,0.05000000,online
MANA-USD,MANA-USD,False,0.03000000,online
VTHO-USD,VTHO-USD,False,0.03000000,online
RNDR-USD,RNDR-USD,False,0.03000000,online
ERN-EUR,ERN-EUR,False,0.03000000,delisted
C98-USD,C98-USD,False,0.03000000,online
APT-USD,APT-USD,False,0.03000000,online
COMP-BTC,COMP-BTC,False,0.03000000,online
ROSE-USD,ROSE-USD,False,0.03000000,online
BCH-EUR,BCH-EUR,False,0.03000000,online
LTC-GBP,LTC-GBP,False,0.03000000,online
LQTY-USD,LQTY-USD,False,0.03000000,online
AUCTION-EUR,AUCTION-EUR,False,0.03000000,delisted
GST-USD,GST-USD,False,0.03000000,online
CLV-GBP,CLV-GBP,False,0.03000000,delisted
SUKU-USD,SUKU-USD,False,0.03000000,online
LIT-USD,LIT-USD,False,0.03000000,online
DASH-BTC,DASH-BTC,False,0.03000000,online
POLY-USDT,POLY-USDT,False,0.03000000,delisted
BAL-BTC,BAL-BTC,False,0.03000000,online
MDT-USD,MDT-USD,False,0.03000000,online
EUROC-EUR,EURC-EUR,True,0.01000000,online
WAXL-USD,WAXL-USD,False,0.03000000,online
BAT-ETH,BAT-ETH,False,0.03000000,online
POWR-USDT,POWR-USDT,False,0.03000000,delisted
BTC-USD,BTC-USD,False,0.02000000,online
INJ-USD,INJ-USD,False,0.03000000,online
MEDIA-USD,MEDIA-USD,False,0.03000000,online
GNT-USDC,GNT-USDC,False,0.03000000,delisted
C98-USDT,C98-USDT,False,0.03000000,delisted
API3-USDT,API3-USDT,False,0.03000000,delisted
ZEC-USD,ZEC-USD,False,0.03000000,online
OXT-USD,OXT-USD,False,0.03000000,online
LCX-EUR,LCX-EUR,False,0.03000000,delisted
DOGE-USDT,DOGE-USDT,False,0.03000000,online
AVT-USD,AVT-USD,False,0.05000000,online
XLM-EUR,XLM-EUR,False,0.03000000,online
RLY-EUR,RLY-EUR,False,0.05000000,delisted
FARM-USDT,FARM-USDT,False,0.03000000,delisted
APE-USDT,APE-USDT,False,0.03000000,online
AST-USD,AST-USD,False,0.03000000,online
ETH-USD,ETH-USD,False,0.02000000,online
DDX-USD,DDX-USD,False,0.03000000,delisted
WLUNA-EUR,WLUNA-EUR,False,0.10000000,delisted
AXL-USD,AXL-USD,False,0.03000000,online
SEI-USD,SEI-USD,False,0.03000000,online
QSP-USDT,QSP-USDT,False,0.05000000,delisted
ARPA-USD,ARPA-USD,False,0.03000000,online
MTL-USD,MTL-USD,False,0.03000000,online
WAMPL-USDT,WAMPL-USDT,False,0.03000000,delisted
