id,display_name,fx_stablecoin,max_slippage_percentage,status
MASK-EUR,MASK-EUR,False,0.05000000,online
CLV-USDT,CLV-USDT,False,0.03000000,delisted
ICP-USD,ICP-USD,False,0.03000000,online
ETH-BTC,ETH-BTC,False,0.03000000,online
BCH-GBP,BCH-GBP,False,0.03000000,online
SYLO-USD,SYLO-USD,False,0.03000000,delisted
AMP-USD,AMP-USD,False,0.03000000,online
FORTH-USD,FORTH-USD,False,0.03000000,online
SHPING-USD,SHPING-USD,False,0.03000000,online
XYO-USDT,XYO-USDT,False,0.03000000,delisted
BOBA-USD,BOBA-USD,False,0.03000000,online
ATOM-BTC,ATOM-BTC,False,0.03000000,online
NCT-EUR,NCT-EUR,False,0.03000000,delisted
CGLD-BTC,CGLD-BTC,False,0.03000000,online
ASM-USD,ASM-USD,False,0.03000000,online
YFII-USD,YFII-USD,False,0.03000000,delisted
MATH-USDT,MATH-USDT,False,0.03000000,delisted
USDT-USD,USDT-USD,True,0.01000000,online
1INCH-EUR,1INCH-EUR,False,0.03000000,online
MINA-USD,MINA-USD,False,0.03000000,online
LQTY-USDT,LQTY-USDT,False,0.03000000,delisted
VGX-EUR,VGX-EUR,False,0.03000000,delisted
SAND-USD,SAND-USD,False,0.03000000,online
CTSI-BTC,CTSI-BTC,False,0.03000000,delisted
ARPA-USDT,ARPA-USDT,False,0.03000000,delisted
RGT-USD,RGT-USD,False,0.03000000,delisted
CTX-EUR,CTX-EUR,False,0.05000000,delisted
SOL-USD,SOL-USD,False,0.03000000,online
FIDA-EUR,FIDA-EUR,False,0.03000000,delisted
MUSE-USD,MUSE-USD,False,0.05000000,online
UST-USDT,UST-USDT,True,0.01000000,delisted
RBN-USD,RBN-USD,False,0.03000000,online
MNDE-USD,MNDE-USD,False,0.03000000,online
UNI-GBP,UNI-GBP,False,0.03000000,online
REQ-USD,REQ-USD,False,0.03000000,online
NCT-USDT,NCT-USDT,False,0.03000000,delisted
RLY-GBP,RLY-GBP,False,0.05000000,delisted
PAX-USD,PAX-USD,True,0.01000000,online
STG-USD,STG-USD,False,0.03000000,delisted
ATOM-GBP,ATOM-GBP,False,0.03000000,online
XTZ-USD,XTZ-USD,False,0.03000000,online
FIL-GBP,FIL-GBP,False,0.03000000,online
QUICK-USD,QUICK-USD,False,0.03000000,delisted
ORN-USDT,ORN-USDT,False,0.03000000,delisted
ANKR-BTC,ANKR-BTC,False,0.03000000,online
SUSHI-ETH,SUSHI-ETH,False,0.03000000,delisted
MATIC-USDT,MATIC-USDT,False,0.03000000,online
OMG-GBP,OMG-GBP,False,0.03000000,delisted
SHIB-EUR,SHIB-EUR,False,0.03000000,online
CHZ-USD,CHZ-USD,False,0.03000000,online
MLN-USD,MLN-USD,False,0.03000000,online
AUCTION-USDT,AUCTION-USDT,False,0.03000000,delisted
EOS-BTC,EOS-BTC,False,0.03000000,online
TNSR-USD,TNSR/USD,False,0.03000000,online
UPI-USD,UPI-USD,False,0.03000000,delisted
BAND-BTC,BAND-BTC,False,0.03000000,delisted
INV-USD,INV-USD,False,0.05000000,online
ADA-USD,ADA-USD,False,0.03000000,online
ALCX-EUR,ALCX-EUR,False,0.03000000,delisted
DOT-GBP,DOT-GBP,False,0.03000000,online
KNC-USD,KNC-USD,False,0.03000000,online
NMR-BTC,NMR-BTC,False,0.03000000,delisted
ELA-USD,ELA-USD,False,0.03000000,online
PRO-USD,PRO-USD,False,0.05000000,online
TVK-USD,TVK-USD,False,0.03000000,online
AXS-USDT,AXS-USDT,False,0.03000000,online
ICP-EUR,ICP-EUR,False,0.03000000,online
NEST-USDT,NEST-USDT,False,0.03000000,delisted
NKN-EUR,NKN-EUR,False,0.03000000,delisted
ARPA-EUR,ARPA-EUR,False,0.03000000,delisted
TONE-USD,TONE-USD,False,0.05000000,delisted
OOKI-USD,OOKI-USD,False,0.05000000,delisted
FIL-USD,FIL-USD,False,0.03000000,online
OMG-EUR,OMG-EUR,False,0.03000000,delisted
DDX-EUR,DDX-EUR,False,0.03000000,delisted
XRP-GBP,XRP-GBP,False,0.05000000,delisted
RENDER-USD,RENDER/USD,False,0.03000000,online
GHST-USD,GHST-USD,False,0.03000000,online
SOL-ETH,SOL-ETH,False,0.03000000,online
DIA-EUR,DIA-EUR,False,0.03000000,delisted
ALGO-EUR,ALGO-EUR,False,0.03000000,online
COTI-USD,COTI-USD,False,0.03000000,online
REP-USD,REP-USD,False,0.03000000,delisted
OP-USDT,OP-USDT,False,0.03000000,online
PNG-USD,PNG-USD,False,0.05000000,online
MCO2-USD,MCO2-USD,False,0.05000000,delisted
DOT-USD,DOT-USD,False,0.03000000,online
CGLD-USD,CGLD-USD,False,0.03000000,online
DESO-USD,DESO-USD,False,0.03000000,online
ASM-USDT,ASM-USDT,False,0.03000000,delisted
MPL-USD,MPL-USD,False,0.03000000,online
DNT-USDC,DNT-USDC,False,0.03000000,delisted
NMR-USD,NMR-USD,False,0.03000000,online
SHPING-EUR,SHPING-EUR,False,0.03000000,delisted
MXC-USD,MXC-USD,False,0.03000000,delisted
SPELL-USDT,SPELL-USDT,False,0.03000000,delisted
FIS-USDT,FIS-USDT,False,0.03000000,delisted
ADA-BTC,ADA-BTC,False,0.03000000,online
FLR-USD,FLR-USD,False,0.03000000,online
CGLD-EUR,CGLD-EUR,False,0.03000000,online
SKL-GBP,SKL-GBP,False,0.03000000,delisted
CVC-USD,CVC-USD,False,0.03000000,online
FET-USD,FET-USD,False,0.03000000,online
QNT-USDT,QNT-USDT,False,0.03000000,online
FX-USD,FX-USD,False,0.03000000,online
DREP-USDT,DREP-USDT,False,0.05000000,delisted
ADA-EUR,ADA-EUR,False,0.03000000,online
HBAR-USD,HBAR-USD,False,0.03000000,online
LRC-USDT,LRC-USDT,False,0.03000000,online
CVX-USD,CVX-USD,False,0.03000000,online
DDX-USDT,DDX-USDT,False,0.03000000,delisted
LPT-USD,LPT-USD,False,0.03000000,online
HNT-USD,HNT-USD,False,0.03000000,online
MANA-ETH,MANA-ETH,False,0.03000000,online
CELR-USD,CELR-USD,False,0.03000000,online
PRIME-USD,PRIME-USD,False,0.03000000,online
APE-USD,APE-USD,False,0.03000000,online
ALEPH-USD,ALEPH-USD,False,0.03000000,online
WLUNA-GBP,WLUNA-GBP,False,0.10000000,delisted
YFI-BTC,YFI-BTC,False,0.03000000,online
ETC-GBP,ETC-GBP,False,0.03000000,online
ETC-BTC,ETC-BTC,False,0.03000000,online
COVAL-USDT,COVAL-USDT,False,0.03000000,delisted
FIDA-USDT,FIDA-USDT,False,0.03000000,delisted
RAD-USD,RAD-USD,False,0.03000000,online
BIGTIME-USD,BIGTIME-USD,False,0.03000000,online
DOT-BTC,DOT-BTC,False,0.03000000,online
LSETH-USD,LSETH-USD,False,0.03000000,online
